PK,BARRIO
5792204,CASCO H.VICALVARO
5115,RIOS ROSAS
5117,LOS ANGELES
5118,ALAMEDA DE OSUNA
5119,ORCASUR
5120,LOS ANGELES
5121,ESTRELLA
5122,SANTA EUGENIA
5123,ALAMEDA DE OSUNA
5124,REJAS
5125,VALLEHERMOSO
5277,LA PAZ
5127,COMILLAS
5128,PALOMERAS SURESTE
5129,QUINTANA
6149062,VALDEFUENTES
5131,ALUCHE
5132,SAN ANDRES
5133,ALUCHE
5134,SAN ANDRES
5135,VALDEZARZA
5387470,CIUDAD UNIVERSITARIA
6729,VALVERDE
6722,ALUCHE
6727,ARCOS
5387554,NIÑO JESUS
5387907,IBIZA
6728,SAN PASCUAL
6723,OPAÑEL
6730,EL PARDO
6731,BUENAVISTA
6725,PALOMERAS SURESTE
5096,VALLEHERMOSO
5136,PINAR DEL REY
5137,VINATEROS
5138,BELLAS VISTAS
5140,AMBROZ
5141,PALOMERAS SURESTE
6024,PALOMERAS BAJAS
5144,CASA DE CAMPO
42014,LOS ROSALES
176810,BUTARQUE
5220,NUMANCIA
5339,CASCO H.VALLECAS
64474,ARCOS
5145,EMBAJADORES
5148,PUERTA DEL ANGEL
5245,CANILLAS
5152,VALDEZARZA
5155,ALMENARA
5156,CASA DE CAMPO
5158,ARAPILES
5159,PINAR DEL REY
5160,PAVONES
5161,LAS AGUILAS
5162,PUERTA DEL ANGEL
5163,MEDIA LEGUA
5164,PACIFICO
5165,CASCO H.VALLECAS
5166,ENTREVIAS
176824,VALVERDE
5168,ENTREVIAS
5169,CANILLAS
5171,ENTREVIAS
5172,ORCASITAS
5173,ABRANTES
5174,CAMPAMENTO
5176,GUINDALERA
5177,VENTAS
5178,VISTA ALEGRE
5179,CAMPAMENTO
5180,ALUCHE
5182,CASCO H.VALLECAS
31747,PINAR DEL REY
5183,BELLAS VISTAS
176840,MIRASIERRA
5185,PUERTA BONITA
5190,SAN DIEGO
5191,CUATRO CAMINOS
5192,PALOMERAS BAJAS
5193,IMPERIAL
5194,PUERTA DEL ANGEL
6025,COSTILLARES
5195,EL PILAR
5196,MOSCARDO
5197,VALVERDE
5198,ADELFAS
6518289,CASCO H.VALLECAS
5200,ENTREVIAS
5201,CASTILLEJOS
5430866,VALVERDE
5202,LAS AGUILAS
5204,CASCO H.VALLECAS
5205,VALDEACEDERAS
5206,MOSCARDO
5207,VALDEFUENTES
5208,ABRANTES
176859,ROSAS
6023,CAMPAMENTO
5210,ALUCHE
5294,PALOMERAS SURESTE
5211,ACACIAS
5212,VENTAS
4974266,VALVERDE
5213,VALDEZARZA
5214,SAN ISIDRO
5215,LA PAZ
64457,CASCO H.VICALVARO
5296,BUTARQUE
4974277,CASCO H.VALLECAS
5216,PROSPERIDAD
5217,CANILLAS
5218,EL PILAR
42017,PALOMERAS BAJAS
5792191,BUENAVISTA
5221,LAS AGUILAS
5222,SAN ANDRES
5223,ENTREVIAS
5224,MARROQUINA
5226,ALMENDRALES
11121459,ENSANCHE DE VALLECAS
5228,ROSAS
5230,IMPERIAL
5232,PAVONES
5233,SAN PASCUAL
5234,APOSTOL SANTIAGO
5235,PALOS DE MOGUER
5236,FONTARRON
5237,ORCASITAS
5238,PORTAZGO
5239,PUEBLO NUEVO
5242,SAN ISIDRO
5243,MIRASIERRA
5157,EL PARDO
5244,SAN CRISTOBAL
5247,IBIZA
5248,CONCEPCION
5249,ALMENDRALES
5250,SAN ANDRES
5251,PALACIO
5252,LOS CARMENES
11167184,TIMON
5255,PINAR DEL REY
5256,CANILLEJAS
5257,ENTREVIAS
5258,CIUDAD JARDIN
5260,CORTES
5261,PALOMERAS BAJAS
5263,ALUCHE
5151,VISTA ALEGRE
5264,MARROQUINA
5253,EL VISO
176881,CASCO H.VICALVARO
5267,COMILLAS
5268,UNIVERSIDAD
176871,BUENAVISTA
5269,PINAR DEL REY
5270,EL VISO
5271,VINATEROS
5272,ALMENARA
5430971,ATOCHA
5273,ARGUELLES
5275,ZOFIO
5276,EL GOLOSO
5278,ORCASITAS
5279,LA PAZ
6027,EL VISO
5280,SAN CRISTOBAL
