Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
55,Nueva España,5,Chamartín,2021,7.48,6.14,6.48,7.37,4.98,4.96,4.38,4.61,6.82,6.79
56,Castilla,5,Chamartín,2021,5.61,6.14,5.03,7.37,5.25,4.96,4.33,4.61,7.23,6.79
61,Bellas Vistas,6,Tetuán,2021,6.46,6.71,11.66,10.98,9.13,9.7,9.37,8.57,6.02,6.94
62,Cuatro Caminos,6,Tetuán,2021,6.49,6.71,7.5,10.98,8.5,9.7,6.79,8.57,6.62,6.94
63,Castillejos,6,Tetuán,2021,6.75,6.71,8.8,10.98,10.44,9.7,7.04,8.57,6.64,6.94
64,Almenara,6,Tetuán,2021,6.77,6.71,10.96,10.98,9.92,9.7,9.99,8.57,8.13,6.94
65,Valdeacederas,6,Tetuán,2021,7.15,6.71,4.91,10.98,11.54,9.7,9.31,8.57,8.41,6.94
66,Berruguete,6,Tetuán,2021,6.73,6.71,22.98,10.98,9.3,9.7,9.27,8.57,6.1,6.94
71,Gaztambide,7,Chamberí,2021,6.02,6.57,19.59,12.33,5.61,5.21,5.37,5.05,9.86,9.73
72,Arapiles,7,Chamberí,2021,6.34,6.57,13.36,12.33,3.72,5.21,5.16,5.05,9.57,9.73
73,Trafalgar,7,Chamberí,2021,6.52,6.57,11.82,12.33,5.6,5.21,5.37,5.05,9.91,9.73
74,Almagro,7,Chamberí,2021,8.4,6.57,9.47,12.33,5.43,5.21,5.19,5.05,10.11,9.73
75,Rios Rosas,7,Chamberí,2021,6.45,6.57,10.7,12.33,5.57,5.21,4.91,5.05,9.34,9.73
76,Vallehermoso,7,Chamberí,2021,5.95,6.57,8.37,12.33,5.36,5.21,4.21,5.05,9.75,9.73
81,El Pardo,8,Fuencarral - El Pardo,2021,7.4,6.51,5.08,5.5,5.71,5.01,4.33,5.25,11.82,7.1
82,Fuentelareina,8,Fuencarral - El Pardo,2021,5.97,6.51,6.54,5.5,6.13,5.01,4.84,5.25,6.52,7.1
83,Peñagrande,8,Fuencarral - El Pardo,2021,5.95,6.51,5.62,5.5,5.3,5.01,5.14,5.25,6.19,7.1
84,Pilar,8,Fuencarral - El Pardo,2021,5.65,6.51,6.24,5.5,5.83,5.01,5.88,5.25,7.13,7.1
85,La Paz,8,Fuencarral - El Pardo,2021,5.57,6.51,4.55,5.5,4.62,5.01,4.23,5.25,7.44,7.1
86,Valverde,8,Fuencarral - El Pardo,2021,7.17,6.51,4.9,5.5,4.94,5.01,6.27,5.25,7.48,7.1
87,Mirasierra,8,Fuencarral - El Pardo,2021,6.2,6.51,5.3,5.5,4.26,5.01,4.33,5.25,7.05,7.1
88,El Goloso,8,Fuencarral - El Pardo,2021,9.71,6.51,7.37,5.5,4.32,5.01,4.22,5.25,6.57,7.1
91,Casa de Campo,9,Moncloa - Aravaca,2021,7.34,6.04,4.2,9.6,4.46,4.74,4.63,5.25,18.95,8.22
92,Argüelles,9,Moncloa - Aravaca,2021,5.25,6.04,23.84,9.6,3.97,4.74,5.57,5.25,5.97,8.22
93,Ciudad Universitaria,9,Moncloa - Aravaca,2021,5.41,6.04,4.91,9.6,5.92,4.74,4.73,5.25,7.9,8.22
94,Valdezarza,9,Moncloa - Aravaca,2021,5.78,6.04,8.17,9.6,5.11,4.74,5.86,5.25,6.95,8.22
95,Valdemarín,9,Moncloa - Aravaca,2021,8.53,6.04,4.84,9.6,5.75,4.74,5.22,5.25,7.22,8.22
96,El Plantío,9,Moncloa - Aravaca,2021,8.43,6.04,4.44,9.6,5.92,4.74,4.53,5.25,8.94,8.22
