,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
228,1200000,planta 2,interior,2,124.0,1,0,Jerónimos,Jerónimos
229,980000,planta 4,exterior,3,178.0,1,0,Piovera,hortaleza
230,259000,planta 2,exterior,4,76.0,1,0,Valdeacederas,tetuan
233,460000,planta 2,exterior,1,68.0,1,1,Piovera,hortaleza
235,2200000,planta 3,exterior,4,248.0,1,1,Niño Jesús,retiro
236,2050000,planta 1,exterior,5,315.0,1,1,El Viso,chamartin
237,1495000,planta 2,exterior,4,221.0,1,0,Sol,centro
238,450000,planta 1,exterior,4,112.0,1,0,Embajadores,centro
239,1075000,planta 6,exterior,1,75.0,1,0,Ríos Rosas,chamberi
240,830000,planta 1,exterior,4,171.0,1,1,Palomas,hortaleza
241,600000,planta 6,exterior,2,130.0,1,1,Pueblo Nuevo,ciudad lineal
242,1400000,planta 2,exterior,3,190.0,1,1,Aravaca,moncloa
243,1800000,casa,exterior,4,194.0,1,0,Castellana,salamanca
244,1049900,planta 3,exterior,2,78.0,1,1,Recoletos,salamanca
245,1350000,planta 2,exterior,3,147.0,1,0,Goya,salamanca
246,1400000,planta 2,exterior,3,190.0,1,1,Aravaca,moncloa
247,839000,planta 1,exterior,2,106.0,1,0,Cortes,centro
248,1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca
249,859000,planta 2,exterior,2,88.0,1,0,Sol,centro
250,1560000,planta 1,exterior,4,212.0,1,0,Aravaca,moncloa
251,1300000,planta 3,exterior,3,157.0,1,0,Trafalgar,chamberi
252,1525000,planta 1,exterior,4,206.0,1,0,Aravaca,moncloa
253,835000,planta 5,exterior,4,219.0,1,0,Guindalera,salamanca
254,1100000,planta 1,interior,3,135.0,1,0,Sol,centro
255,1250000,planta 3,exterior,4,155.0,1,1,Castellana,salamanca
256,895000,planta 3,exterior,2,112.0,1,0,El Viso,chamartin
257,1080000,planta 4,exterior,2,97.0,1,1,Lista,salamanca
259,349000,planta 4,exterior,1,51.0,1,0,Palacio,centro
260,210000,entreplanta,exterior,3,80.0,1,0,Canillejas,san-blas
261,680000,planta 4,exterior,1,80.0,1,0,Justicia,centro
262,220000,planta 1,interior,3,49.0,1,0,Palos de Moguer,arganzuela
263,780000,planta 4,exterior,3,113.0,1,1,Niño Jesús,retiro
264,650000,planta 4,exterior,2,87.0,1,1,Trafalgar,chamberi
265,780000,planta 4,exterior,2,110.0,1,0,Justicia,centro
266,235000,bajo,exterior,0,85.0,1,0,Casco Histórico de Vicálvaro,vicalvaro
267,250000,planta 3,exterior,3,80.0,1,0,Pinar del Rey,hortaleza
268,680000,planta 4,exterior,1,85.0,1,0,Universidad,centro
269,645000,planta 1,exterior,4,170.0,1,1,La Paz,fuencarral
270,640000,planta 6,exterior,2,140.0,1,1,Peñagrande,fuencarral
272,595000,planta 3,exterior,1,81.0,1,1,Hispanoamérica,chamartin
273,515000,planta 4,interior,2,125.0,1,1,Cortes,centro
274,560000,planta 1,exterior,2,80.0,1,0,Almagro,chamberi
276,1250000,planta 4,exterior,2,110.0,1,1,Goya,salamanca
277,319900,planta 5,exterior,3,90.0,1,0,Vinateros,moratalaz
278,1079000,planta 2,exterior,3,128.0,1,0,Justicia,centro
279,2250000,planta 3,exterior,3,204.0,1,1,Lista,salamanca
280,695000,bajo,exterior,2,262.0,1,0,Embajadores,centro
282,650000,bajo,exterior,2,153.0,1,1,Mirasierra,fuencarral
286,859000,planta 2,exterior,3,133.0,1,0,Cortes,centro
287,590000,planta 5,exterior,2,241.0,1,0,Simancas,san-blas
289,235000,bajo,exterior,1,50.0,1,0,Bellas Vistas,tetuan
290,3100000,planta 6,exterior,4,292.0,1,1,El Viso,chamartin
292,2100000,planta 1,exterior,5,302.0,1,0,Recoletos,salamanca
293,2800000,planta 5,exterior,4,255.0,1,0,Justicia,centro
294,828000,planta 2,exterior,4,138.0,1,1,Trafalgar,chamberi
296,1330000,planta 5,exterior,5,234.0,1,1,Nueva España,chamartin
297,2575000,planta 1,exterior,4,215.0,1,0,Palacio,centro
299,1650000,planta 3,interior,4,202.0,1,1,El Viso,chamartin
301,1215000,planta 3,exterior,2,81.0,1,0,Recoletos,salamanca
303,1495000,planta 2,exterior,4,264.0,1,1,Castilla,chamartin
304,275000,planta 1,interior,1,39.0,1,0,Guindalera,salamanca
306,1349000,planta 9,exterior,3,152.0,1,0,Castillejos,tetuan
307,2100000,planta 5,exterior,4,291.0,1,1,El Viso,chamartin
308,1095000,planta 5,exterior,4,164.0,1,1,Goya,salamanca
309,1850000,planta 1,exterior,3,146.0,1,1,Recoletos,salamanca
310,1175000,planta 15,exterior,3,165.0,1,1,Cuatro Caminos,tetuan
311,1500000,planta 3,exterior,4,237.0,1,1,Aravaca,moncloa
312,1760000,planta 5,exterior,3,156.0,1,0,Recoletos,salamanca
313,740000,planta 4,exterior,4,147.0,1,0,Aravaca,moncloa
317,590000,planta 3,exterior,2,75.0,1,0,Cortes,centro
318,259900,bajo,exterior,2,64.0,1,0,Moscardó,usera
319,739000,planta 6,exterior,3,102.0,1,0,Ibiza,retiro
320,390000,planta 2,exterior,1,60.0,1,1,Aravaca,moncloa
321,590000,planta 2,exterior,2,75.0,1,0,Cortes,centro
322,1290000,planta 7,exterior,4,160.0,1,0,Hispanoamérica,chamartin
323,2012500,planta 1,exterior,2,175.0,1,0,Goya,salamanca
