price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
250000,planta 3,exterior,3,80.0,1,0,Pinar del Rey,hortaleza,0.0,5.11,6.91,6.3,6.45,7.42
680000,planta 4,exterior,1,85.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
645000,planta 1,exterior,4,170.0,1,1,La Paz,fuencarral,1.0,5.57,4.55,4.62,4.23,7.44
640000,planta 6,exterior,2,140.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19
595000,planta 3,exterior,1,81.0,1,1,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
515000,planta 4,interior,2,125.0,1,1,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
560000,planta 1,exterior,2,80.0,1,0,Almagro,chamberi,0.0,8.4,9.47,5.43,5.19,10.11
1250000,planta 4,exterior,2,110.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
319900,planta 5,exterior,3,90.0,1,0,Vinateros,moratalaz,0.0,8.9,6.17,9.09,7.76,5.72
1079000,planta 2,exterior,3,128.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
650000,bajo,exterior,2,153.0,1,1,Mirasierra,fuencarral,1.0,6.2,5.3,4.26,4.33,7.05
859000,planta 2,exterior,3,133.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
235000,bajo,exterior,1,50.0,1,0,Bellas Vistas,tetuan,0.0,6.46,11.66,9.13,9.37,6.02
828000,planta 2,exterior,4,138.0,1,1,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
1215000,planta 3,exterior,2,81.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
275000,planta 1,interior,1,39.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34
1349000,planta 9,exterior,3,152.0,1,0,Castillejos,tetuan,1.0,6.75,8.8,10.44,7.04,6.64
1095000,planta 5,exterior,4,164.0,1,1,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
1850000,planta 1,exterior,3,146.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
1175000,planta 15,exterior,3,165.0,1,1,Cuatro Caminos,tetuan,0.0,6.49,7.5,8.5,6.79,6.62
1760000,planta 5,exterior,3,156.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
740000,planta 4,exterior,4,147.0,1,0,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99
590000,planta 3,exterior,2,75.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
259900,bajo,exterior,2,64.0,1,0,Moscardó,usera,1.0,10.38,6.84,11.57,12.36,7.15
739000,planta 6,exterior,3,102.0,1,0,Ibiza,retiro,0.0,8.17,56.34,3.6,5.55,6.55
390000,planta 2,exterior,1,60.0,1,1,Aravaca,moncloa,1.0,5.89,5.68,4.06,5.0,6.99
590000,planta 2,exterior,2,75.0,1,0,Cortes,centro,0.0,12.32,6.35,4.78,8.15,10.5
1290000,planta 7,exterior,4,160.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
2012500,planta 1,exterior,2,175.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
179999,planta 5,exterior,2,68.0,1,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22
339900,planta 3,exterior,1,90.0,1,1,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
145000,bajo,exterior,1,45.0,1,0,San Diego,puente-de-vallecas,0.0,12.89,8.94,11.01,15.23,6.97
699000,planta 3,exterior,1,91.0,1,0,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62
300000,planta 1,exterior,1,43.0,1,0,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55
529000,planta 4,exterior,3,89.0,1,0,Palacio,centro,1.0,10.62,4.44,5.01,7.14,8.77
1137000,planta 4,exterior,5,196.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97
