price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
443000,planta 5,exterior,4,131.0,1,0,Palos de Moguer,arganzuela
250000,bajo,exterior,1,80.0,1,0,Chopera,arganzuela
230000,planta 5,interior,2,42.0,1,0,Palos de Moguer,arganzuela
420000,planta 2,exterior,4,110.0,1,0,Delicias,arganzuela
365000,planta 4,exterior,1,75.0,1,0,Palos de Moguer,arganzuela
359000,planta 5,interior,3,115.0,1,0,Delicias,arganzuela
395000,planta 2,interior,3,80.0,1,0,Delicias,arganzuela
365000,planta 4,exterior,1,71.0,1,0,Palos de Moguer,arganzuela
185000,bajo,interior,1,47.0,1,0,Palos de Moguer,arganzuela
527000,planta 4,exterior,4,133.0,1,0,Acacias,arganzuela
220000,sotano,interior,2,125.0,1,0,Imperial,arganzuela
264000,entreplanta,exterior,3,92.0,1,0,Chopera,arganzuela
269900,entreplanta,exterior,3,92.0,1,0,Chopera,arganzuela
223000,planta 3,interior,2,55.0,1,0,Acacias,arganzuela
185000,sotano,exterior,2,67.0,1,0,Chopera,arganzuela
485000,planta 8,exterior,4,110.0,1,0,Chopera,arganzuela
390000,planta 2,interior,3,90.0,1,0,Palos de Moguer,arganzuela
398000,planta 2,exterior,4,109.0,1,0,Palos de Moguer,arganzuela
385000,planta 3,exterior,2,90.0,1,0,Palos de Moguer,arganzuela
330000,planta 5,exterior,3,82.0,1,0,Acacias,arganzuela
370000,planta 1,exterior,1,80.0,1,0,Imperial,arganzuela
330000,planta 4,exterior,2,72.0,1,0,Acacias,arganzuela
215000,planta 5,interior,1,47.0,1,0,Acacias,arganzuela
340400,planta 3,exterior,1,65.0,1,0,Imperial,arganzuela
235000,planta 2,exterior,2,66.0,1,0,Chopera,arganzuela
355000,bajo,exterior,3,96.0,1,0,Delicias,arganzuela
349000,planta 3,interior,2,75.0,1,0,Delicias,arganzuela
605000,planta 1,exterior,3,124.0,1,0,Imperial,arganzuela
650000,bajo,exterior,4,279.0,1,0,Imperial,arganzuela
299000,planta 4,exterior,2,71.0,1,0,Delicias,arganzuela
368000,planta 1,exterior,2,89.0,1,0,Acacias,arganzuela
150000,bajo,exterior,1,35.0,1,0,Palos de Moguer,arganzuela
299000,planta 3,exterior,2,50.0,1,0,Imperial,arganzuela
240000,planta 1,interior,2,50.0,1,0,Palos de Moguer,arganzuela
210000,planta 4,interior,2,45.0,1,0,Acacias,arganzuela
800000,planta 8,exterior,4,160.0,1,0,Imperial,arganzuela
485000,planta 7,exterior,1,66.0,1,0,Imperial,arganzuela
449900,planta 2,exterior,3,110.0,1,0,Palos de Moguer,arganzuela
355000,planta 6,exterior,3,78.0,1,0,Acacias,arganzuela
450000,planta 5,exterior,5,113.0,1,0,Imperial,arganzuela
390000,planta 1,exterior,3,97.0,1,0,Chopera,arganzuela
280000,entreplanta,exterior,3,77.0,1,0,Chopera,arganzuela
355000,planta 6,exterior,2,77.0,1,0,Palos de Moguer,arganzuela
210000,planta 2,exterior,2,57.0,1,0,Palos de Moguer,arganzuela
330000,bajo,exterior,2,65.0,1,0,Palos de Moguer,arganzuela
530000,planta 8,exterior,4,100.0,1,0,Legazpi,arganzuela
560000,planta 3,exterior,4,116.0,1,0,Imperial,arganzuela
379000,planta 4,exterior,2,89.0,1,0,Delicias,arganzuela
245000,bajo,exterior,1,36.0,1,0,Delicias,arganzuela
229100,planta 1,exterior,1,52.0,1,0,Delicias,arganzuela
298000,bajo,exterior,2,65.0,1,0,Chopera,arganzuela
410000,planta 4,exterior,2,93.0,1,0,Imperial,arganzuela
325000,bajo,exterior,2,80.0,1,0,Palos de Moguer,arganzuela
395000,planta 5,exterior,3,91.0,1,0,Palos de Moguer,arganzuela
359000,planta 1,exterior,4,113.0,1,0,Delicias,arganzuela
250000,planta 7,interior,2,56.0,1,0,Palos de Moguer,arganzuela
189000,bajo,exterior,1,46.0,1,0,Delicias,arganzuela
435000,planta 2,exterior,4,102.0,1,0,Legazpi,arganzuela
229100,planta 1,,2,54.0,1,0,Delicias,arganzuela
169000,bajo,exterior,2,47.0,1,0,Palos de Moguer,arganzuela
450000,planta 3,exterior,4,97.0,1,0,Acacias,arganzuela
330000,planta 5,interior,2,84.0,1,0,Chopera,arganzuela
480000,planta 1,exterior,4,125.0,1,0,Palos de Moguer,arganzuela
499000,planta 3,exterior,2,106.0,1,0,Palos de Moguer,arganzuela
277000,entreplanta,exterior,3,92.0,1,0,Chopera,arganzuela
498500,planta 6,exterior,3,93.0,1,0,Palos de Moguer,arganzuela
284000,bajo,exterior,1,71.0,1,0,Imperial,arganzuela
175000,bajo,exterior,2,63.0,1,0,Imperial,arganzuela
150000,bajo,exterior,1,42.0,1,0,Imperial,arganzuela
255000,planta 3,interior,2,67.0,1,0,Chopera,arganzuela
179000,planta 5,interior,2,39.0,1,0,Acacias,arganzuela
218000,planta 2,interior,2,55.0,1,0,Acacias,arganzuela
219900,planta 3,exterior,2,45.0,1,0,Imperial,arganzuela
165000,planta 3,interior,1,35.0,1,0,Delicias,arganzuela
295000,planta 2,,2,50.0,1,0,Acacias,arganzuela
305000,planta 5,interior,3,70.0,1,0,Chopera,arganzuela
169000,bajo,interior,1,35.0,1,0,Imperial,arganzuela
169000,bajo,interior,2,52.0,1,0,Chopera,arganzuela
380000,planta 1,exterior,3,80.0,1,0,Delicias,arganzuela
391000,planta 6,exterior,3,102.0,1,0,Chopera,arganzuela
