sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
112.0,3,2.0,0,three,0.0,1172,2580,0,0.0,0.0,1.0,1,1,1.0,1.0,E,1,0.0,0.0,1.0,0.0,2013.0,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,0,two,0.0,968,1984,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
107.0,3,2.0,0,one,0.0,940,1939,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,0,three,0.0,790,2142,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
105.0,3,2.0,0,one,0.0,933,1952,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,0,four,0.0,982,2026,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,0,four,0.0,974,2021,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,0,zero,1.0,1014,2127,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,0,four,0.0,793,2150,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,0,two,0.0,783,2115,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,0,three,0.0,970,2011,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,0,five,0.0,799,2174,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,0,three,0.0,978,2016,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,0,zero,1.0,1011,2137,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,0,two,0.0,960,1979,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
111.0,2,2.0,0,six,0.0,1011,2079,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Penthouse
115.0,3,2.0,0,two,0.0,1020,2033,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,0,one,0.0,1011,2007,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
117.0,3,2.0,0,one,0.0,1050,2087,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
117.0,3,2.0,0,one,0.0,1048,2081,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
117.0,3,2.0,0,one,0.0,1052,2092,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
118.0,3,2.0,0,one,0.0,977,1858,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,0,five,0.0,1046,2111,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
97.0,4,1.0,0,three,0.0,666,1340,0,,,,0,0,0.0,,E,0,,,,,1970.0,San Andrés 134,Villaverde 21,Apartment
106.0,3,2.0,0,three,0.0,1071,2373,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,0,three,0.0,1025,2285,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,0,one,0.0,1024,2283,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,0,five,0.0,1027,2293,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
114.0,3,2.0,0,two,0.0,1080,2234,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
150.0,2,1.0,0,,0.0,777,1060,1,0.0,0.0,1.0,0,0,,,F,1,,,,,1993.0,San Andrés 134,Villaverde 21,Chalet
140.0,3,3.0,0,seven,0.0,1128,1946,0,0.0,0.0,1.0,1,1,1.0,1.0,D,0,0.0,0.0,1.0,0.0,2004.0,Butarque 131,Villaverde 21,Duplex
58.0,3,1.0,1,two,0.0,471,1466,0,0.0,,,1,0,0.0,1.0,E,0,,,,,1951.0,Los Rosales 133,Villaverde 21,Apartment
65.0,3,1.0,1,one,0.0,512,1446,0,0.0,0.0,1.0,1,1,0.0,1.0,in process,0,0.0,0.0,0.0,1.0,,San Cristóbal 135,Villaverde 21,Apartment
110.0,4,2.0,1,one,0.0,833,1591,0,0.0,0.0,1.0,0,1,0.0,1.0,E,0,,,,,1978.0,Los Rosales 133,Villaverde 21,Apartment
173.0,4,2.0,1,two,0.0,1116,1549,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,1.0,0.0,1.0,0.0,2003.0,Butarque 131,Villaverde 21,Apartment
75.0,2,1.0,1,three,0.0,766,2080,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,0,,,,,,San Andrés 134,Villaverde 21,Penthouse
90.0,1,1.0,0,seven,0.0,861,2035,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Penthouse
125.0,3,2.0,0,one,0.0,948,1680,0,0.0,0.0,1.0,1,1,1.0,1.0,B,1,,,,,1996.0,Los Rosales 133,Villaverde 21,Apartment
58.0,2,1.0,1,zero,1.0,471,1466,0,0.0,,,0,0,0.0,1.0,in process,0,,,,,1968.0,San Andrés 134,Villaverde 21,Apartment
