price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,urban_mobility_index,education_index,employment_index
285000,bajo,exterior,2,90.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
170000,planta 5,exterior,2,73.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
159900,planta 1,interior,2,71.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
195000,planta 6,exterior,1,39.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
105000,bajo,exterior,2,53.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
185000,bajo,exterior,1,54.0,1,1,Opañel,carabanchel,762.0,9.53,10.68,10.92
148000,planta 3,exterior,2,70.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
165000,bajo,exterior,3,60.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
340000,planta 8,exterior,3,92.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
485000,planta 5,exterior,2,147.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
200000,planta 4,exterior,3,97.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
167000,planta 2,exterior,2,68.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
150000,planta 4,exterior,2,70.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
117000,bajo,interior,2,50.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
129000,planta 2,exterior,2,67.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
439000,planta 3,exterior,4,176.0,1,1,Opañel,carabanchel,762.0,9.53,10.68,10.92
289000,bajo,exterior,3,115.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
209900,planta 1,exterior,1,61.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
120000,planta 2,exterior,2,64.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
265000,bajo,exterior,3,104.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
170000,planta 1,exterior,2,65.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
198000,bajo,exterior,1,85.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
170000,bajo,exterior,1,62.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
228000,planta 4,exterior,2,70.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
183000,planta 1,exterior,3,66.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
