price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
750000,Ático,exterior,3,142.0,1,1,Valdefuentes,Hortaleza
1769000,Piso,exterior,2,162.0,1,0,Goya,Salamanca
391000,Piso,exterior,3,118.0,1,1,Palomeras Sureste,Puente de Vallecas
525000,Piso,exterior,3,91.0,1,0,Cuatro Caminos,Tetuán
1250000,Piso,exterior,4,182.0,1,0,Goya,Salamanca
950000,Piso,exterior,2,78.0,1,0,Trafalgar,Chamberí
3250000,Piso,exterior,4,267.0,1,0,Recoletos,Salamanca
3550000,Piso,exterior,4,292.0,1,1,Almagro,Chamberí
3100000,Ático,exterior,2,255.0,1,1,Universidad,Centro
176489,Piso,exterior,2,59.0,1,1,Los Berrocales,Vicálvaro
950000,Piso,exterior,2,109.0,1,0,Universidad,Centro
128000,Estudio,interior,0,59.0,0,0,Hellín,San Blas-Canillejas
223630,Piso,exterior,2,103.0,1,0,Valverde,Fuencarral-El Pardo
139000,Piso,exterior,3,64.0,1,0,Buenavista,Carabanchel
126000,Piso,exterior,3,58.0,1,0,Buenavista,Carabanchel
126000,Piso,exterior,3,58.0,1,0,Buenavista,Carabanchel
236810,Piso,exterior,3,109.0,1,1,Los Cerros,Vicálvaro
2995000,Piso,exterior,4,298.0,1,0,Gaztambide,Chamberí
2995000,Piso,exterior,4,298.0,1,0,Gaztambide,Chamberí
10000000,Casa,interior,10,995.0,0,1,El Viso,Chamartín
2100000,Piso,exterior,4,209.0,1,1,Castellana,Salamanca
159000,Piso,exterior,2,65.0,1,0,Quintana,Ciudad Lineal
159000,Piso,exterior,2,54.0,1,0,Comillas,Carabanchel
159000,Piso,exterior,2,63.0,1,0,Zofio,Usera
159000,Piso,exterior,1,53.0,1,1,Casco Histórico de Vallecas,Villa de Vallecas
159000,Piso,interior,2,65.0,1,0,Casco Histórico de Vallecas,Villa de Vallecas
159000,Piso,exterior,2,42.0,1,0,Almenara,Tetuán
525000,Piso,exterior,3,130.0,1,1,Simancas,San Blas-Canillejas
