Area,rooms,floor,price,elevator,exterior,district
154.0,3,3.0,280000,True,True,Villaverde 21
105.0,3,0.0,180000,False,True,Villaverde 21
70.0,2,0.0,128000,False,True,Villaverde 21
93.0,3,2.0,166200,True,True,Villaverde 21
86.0,3,4.0,129000,True,False,Villaverde 21
75.0,3,1.0,132000,False,True,Villaverde 21
85.0,3,0.0,135000,False,True,Villaverde 21
65.0,2,0.0,99000,False,True,Villaverde 21
68.0,3,2.0,88000,False,True,Villaverde 21
75.0,3,5.0,110000,False,False,Villaverde 21
83.0,2,1.0,146000,True,True,Villaverde 21
95.0,3,0.0,112000,False,False,Villaverde 21
30.0,1,0.0,59000,False,True,Villaverde 21
53.0,1,6.0,146000,True,True,Villaverde 21
153.0,4,1.0,178000,True,True,Villaverde 21
66.0,2,2.0,96000,False,True,Villaverde 21
63.0,3,4.0,82000,False,True,Villaverde 21
95.0,3,0.0,199000,False,True,Villaverde 21
65.0,2,2.0,232000,True,True,Villaverde 21
69.0,2,1.0,240000,True,True,Villaverde 21
90.0,3,4.0,172000,True,True,Villaverde 21
60.0,3,2.0,82260,True,True,Villaverde 21
65.0,2,0.0,109000,True,True,Villaverde 21
115.0,4,1.0,133000,True,True,Villaverde 21
83.0,3,1.0,111000,True,True,Villaverde 21
55.0,2,2.0,110000,False,True,Villaverde 21
80.0,2,1.0,179990,True,True,Villaverde 21
68.0,3,1.0,156000,False,True,Villaverde 21
89.0,2,1.0,228000,True,True,Villaverde 21
61.0,3,4.0,89000,False,True,Villaverde 21
68.0,3,2.0,94000,False,True,Villaverde 21
92.0,3,4.0,175000,True,True,Villaverde 21
70.0,3,2.0,90000,False,True,Villaverde 21
63.0,3,1.0,167000,True,True,Villaverde 21
57.0,3,5.0,96000,False,True,Villaverde 21
63.0,3,3.0,84000,False,True,Villaverde 21
80.0,3,1.0,95000,False,True,Villaverde 21
61.0,3,4.0,100000,False,True,Villaverde 21
85.0,3,1.0,154900,False,True,Villaverde 21
80.0,2,3.0,115000,True,True,Villaverde 21
55.0,2,3.0,96000,False,True,Villaverde 21
60.0,0,0.0,85000,False,True,Villaverde 21
60.0,2,3.0,95000,False,True,Villaverde 21
55.0,3,1.0,78000,False,True,Villaverde 21
93.0,3,0.0,128500,False,True,Villaverde 21
55.0,2,0.0,95000,False,True,Villaverde 21
82.0,3,3.0,83900,False,True,Villaverde 21
53.0,2,1.0,96000,False,True,Villaverde 21
58.0,2,1.0,118000,False,True,Villaverde 21
70.0,2,1.0,202000,True,True,Villaverde 21
50.0,2,3.0,105000,False,True,Villaverde 21
103.0,3,7.0,265000,True,True,Villaverde 21
90.0,3,1.0,290000,True,True,Villaverde 21
66.0,2,3.0,90000,False,True,Villaverde 21
70.0,2,0.0,75000,False,True,Villaverde 21
60.0,2,2.0,125000,False,True,Villaverde 21
101.0,2,6.0,255000,True,True,Villaverde 21
55.0,2,3.0,96600,False,True,Villaverde 21
77.0,3,3.0,119000,False,True,Villaverde 21
56.0,3,1.0,100000,True,True,Villaverde 21
72.0,3,0.5,95000,True,True,Villaverde 21
70.0,3,3.0,135000,False,True,Villaverde 21
75.0,2,0.0,195000,False,True,Villaverde 21
120.0,3,1.0,195000,False,True,Villaverde 21
91.0,2,1.0,215000,True,True,Villaverde 21
95.0,2,2.0,122000,False,True,Villaverde 21
61.0,3,1.0,125000,False,True,Villaverde 21
73.0,2,1.0,120000,False,True,Villaverde 21
66.0,3,1.0,93000,False,True,Villaverde 21
68.0,2,4.0,125000,False,True,Villaverde 21
70.0,3,3.0,104840,False,True,Villaverde 21
56.0,3,1.0,105000,True,True,Villaverde 21
100.0,4,1.0,165000,True,True,Villaverde 21
125.0,4,0.5,173000,True,True,Villaverde 21
54.0,3,0.0,71000,False,True,Villaverde 21
130.0,4,2.0,168000,True,True,Villaverde 21
68.0,2,0.5,99900,False,True,Villaverde 21
85.0,3,3.0,128000,False,True,Villaverde 21
75.0,3,3.0,120000,False,True,Villaverde 21
80.0,2,1.0,95000,False,True,Villaverde 21
69.0,4,3.0,85900,False,True,Villaverde 21
70.0,3,2.0,142500,False,False,Villaverde 21
56.0,2,4.0,109000,False,True,Villaverde 21
90.0,2,4.0,140000,False,True,Villaverde 21
71.0,2,1.0,120000,False,True,Villaverde 21
76.0,3,2.0,110000,True,True,Villaverde 21
114.0,4,2.0,299000,True,True,Villaverde 21
90.0,3,3.0,180000,True,True,Villaverde 21
70.0,3,1.0,85000,False,True,Villaverde 21
80.0,3,0.0,100000,False,True,Villaverde 21
96.0,4,7.0,170000,True,True,Villaverde 21
50.0,1,2.0,125000,True,True,Villaverde 21
85.0,3,1.0,230000,True,True,Villaverde 21
90.0,3,5.0,300000,True,True,Villaverde 21
60.0,3,0.5,120000,True,True,Villaverde 21
60.0,3,4.0,140000,False,True,Villaverde 21
105.0,3,2.0,135000,False,True,Villaverde 21
140.0,3,4.0,340000,True,True,Villaverde 21
112.0,3,1.0,230000,False,True,Villaverde 21
60.0,3,4.0,145000,False,True,Villaverde 21
62.0,2,2.0,142450,False,True,Villaverde 21
81.0,3,3.0,160000,True,True,Villaverde 21
75.0,3,3.0,180000,False,True,Villaverde 21
72.0,3,2.0,130000,True,True,Villaverde 21
95.0,2,3.0,250000,True,True,Villaverde 21
49.0,1,2.0,190000,True,True,Villaverde 21
90.0,3,2.0,169000,False,True,Villaverde 21
78.0,2,3.0,168000,False,True,Villaverde 21
100.0,3,3.0,210000,False,True,Villaverde 21
70.0,3,1.0,95000,True,True,Villaverde 21
56.0,3,1.0,78000,False,True,Villaverde 21
110.0,3,2.0,189000,True,True,Villaverde 21
115.0,3,3.0,245000,True,True,Villaverde 21
70.0,3,2.0,97000,False,True,Villaverde 21
75.0,3,4.0,155000,True,True,Villaverde 21
116.0,4,0.5,170000,True,True,Villaverde 21
48.0,2,4.0,120000,True,True,Villaverde 21
80.0,3,0.0,125000,False,True,Villaverde 21
81.0,3,2.0,139500,False,True,Villaverde 21
95.0,4,7.0,198000,True,True,Villaverde 21
60.0,4,5.0,75000,False,True,Villaverde 21
