,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,built_year,has_lift,is_exterior,district
292,57.0,3,1.0,five,96000,False,1965.0,False,True,Villaverde 21
293,63.0,3,1.0,three,84000,False,1968.0,False,True,Villaverde 21
295,125.0,3,2.0,one,210000,False,1971.0,True,True,Villaverde 21
299,80.0,3,1.0,one,95000,False,1971.0,False,True,Villaverde 21
302,61.0,3,1.0,four,100000,False,1971.0,False,True,Villaverde 21
304,85.0,3,1.0,one,154900,False,1980.0,False,True,Villaverde 21
305,80.0,2,1.0,three,115000,False,1971.0,True,True,Villaverde 21
306,55.0,2,1.0,three,96000,False,1962.0,False,True,Villaverde 21
307,60.0,0,1.0,zero,85000,False,1971.0,False,True,Villaverde 21
308,60.0,2,1.0,three,95000,False,1971.0,False,True,Villaverde 21
309,55.0,3,1.0,one,78000,False,1971.0,False,True,Villaverde 21
310,93.0,3,1.0,zero,128500,False,1971.0,False,True,Villaverde 21
311,55.0,2,1.0,zero,95000,False,1971.0,False,True,Villaverde 21
312,82.0,3,1.0,three,83900,False,1971.0,False,True,Villaverde 21
313,53.0,2,1.0,one,96000,False,1971.0,False,True,Villaverde 21
315,58.0,2,1.0,one,118000,False,1971.0,False,True,Villaverde 21
316,70.0,2,1.0,one,202000,False,2009.0,True,True,Villaverde 21
319,50.0,2,1.0,three,105000,False,1971.0,False,True,Villaverde 21
320,103.0,3,2.0,seven,265000,False,1971.0,True,True,Villaverde 21
321,90.0,3,2.0,one,290000,False,1971.0,True,True,Villaverde 21
322,66.0,2,1.0,three,90000,False,1971.0,False,True,Villaverde 21
323,70.0,2,1.0,zero,75000,False,1973.0,False,True,Villaverde 21
324,60.0,2,1.0,two,125000,False,1971.0,False,True,Villaverde 21
325,101.0,2,2.0,six,255000,False,1971.0,True,True,Villaverde 21
327,55.0,2,1.0,three,96600,True,1959.0,False,True,Villaverde 21
328,77.0,3,1.0,three,119000,False,1960.0,False,True,Villaverde 21
329,56.0,3,1.0,one,100000,False,1967.0,True,True,Villaverde 21
331,72.0,3,1.0,mezzanine,95000,True,1965.0,True,True,Villaverde 21
332,70.0,3,1.0,three,135000,False,1971.0,False,True,Villaverde 21
333,75.0,2,2.0,zero,195000,False,1971.0,False,True,Villaverde 21
