price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index,kmean_cluster
115000,planta 1,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
136000,planta 3,exterior,3,87.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
109000,bajo,exterior,1,35.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
169000,planta 3,exterior,3,77.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
149000,planta 2,exterior,3,94.0,0,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
145000,planta 1,exterior,2,59.0,0,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
145000,planta 3,exterior,4,115.0,1,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
360000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
165000,planta 1,interior,3,69.0,0,0,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
125000,bajo,exterior,1,32.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
170000,planta 1,exterior,3,92.0,0,1,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
250000,planta 1,exterior,2,100.0,0,1,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
169700,planta 1,exterior,3,73.0,0,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
225000,planta 3,exterior,4,112.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
180000,planta 2,interior,3,75.0,1,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
290000,planta 1,exterior,4,134.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
165000,entreplanta,exterior,3,86.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
220000,planta 1,exterior,3,93.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
224990,bajo,exterior,3,96.0,0,0,Opañel,carabanchel,0.0,8.67,9.53,10.68,10.92,6.48,0
367000,planta 3,exterior,2,85.0,1,1,San Isidro,carabanchel,1.0,8.75,6.64,11.27,10.92,6.67,0
198000,bajo,exterior,3,60.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
210000,bajo,exterior,2,92.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
120000,planta 4,exterior,2,67.0,1,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
134000,planta 2,exterior,3,62.0,0,0,Abrantes,carabanchel,0.0,8.58,5.73,13.05,10.92,6.22,0
420000,planta 1,exterior,4,130.0,0,0,Puerta Bonita,carabanchel,0.0,10.73,11.03,11.35,10.92,7.35,0
285030,planta 3,interior,2,89.0,1,0,Comillas,carabanchel,0.0,8.75,7.77,12.57,10.92,6.06,0
139000,planta 2,exterior,3,70.0,0,0,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
259000,planta 2,exterior,4,97.0,1,0,Vista Alegre,carabanchel,1.0,8.47,10.87,13.03,10.92,6.02,0
200000,planta 1,interior,3,86.0,0,1,Buenavista,carabanchel,1.0,8.89,8.35,10.42,10.92,5.82,0
