price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
229000,bajo,exterior,3,66.0,0,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
169000,planta 1,interior,2,35.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
220000,bajo,exterior,2,64.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
159000,planta 2,exterior,1,41.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
439900,planta 7,interior,3,101.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
320000,planta 1,,1,93.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
160000,planta 1,,2,44.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
229100,planta 1,exterior,1,49.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
103000,planta 2,,1,22.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
259000,planta 5,exterior,2,56.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
210000,bajo,interior,1,50.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
380000,planta 3,exterior,3,89.0,1,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
519000,planta 5,exterior,4,115.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
379000,planta 4,exterior,3,98.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
180000,planta 3,interior,1,50.0,0,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
395000,bajo,exterior,4,185.0,0,1,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
243999,planta 3,interior,1,60.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
179000,planta 3,interior,1,40.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
475000,planta 2,exterior,5,136.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
440000,planta 12,exterior,3,90.0,1,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
450000,planta 4,exterior,4,128.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
450000,planta 4,exterior,4,126.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
380000,planta 4,exterior,4,98.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
515000,planta 1,exterior,4,131.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
175000,bajo,interior,1,45.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
223000,planta 3,interior,2,54.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
545000,planta 8,exterior,4,114.0,1,1,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
278000,planta 1,,3,73.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
309900,planta 7,exterior,1,57.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
72000,planta 2,exterior,2,36.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
315000,planta 2,interior,3,72.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
640000,planta 4,exterior,3,123.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
225000,planta 1,interior,1,40.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
162500,bajo,exterior,3,53.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
285000,planta 5,interior,3,74.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
280000,bajo,exterior,1,71.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
399000,planta 1,exterior,2,80.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
295000,planta 4,exterior,1,79.0,1,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
525000,planta 4,exterior,4,126.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
315000,planta 1,exterior,3,85.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
599000,planta 6,exterior,3,72.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
440000,planta 2,exterior,5,139.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
219000,planta 4,,2,58.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
295000,planta 4,interior,2,60.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
535000,bajo,exterior,2,75.0,1,1,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
330000,planta 4,exterior,1,65.0,1,1,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
235000,planta 1,exterior,1,37.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
